food_id,image_url,food_name,food_price
burger,./food-hamburger.jpg,Moondust Burger,"$750,000 "
beef,./food-beef.jpg,Braised Beef with Moonchunks,"$1,503,000 "
cake,./food-cake.jpg,Moon Crater Cake,"$680,000 "
cupcake,./food-cupcakes.jpg,Moon Meteor Cupcakes,"$725,500 "
curry,./food-currysoup.jpg,Mooncurry Soup,"$998,000 "
moondog,./food-hotdog.jpg,"Classic 6"" Moondog","$578,300 "
flatcakes,./food-pancakes.jpg,Flatcakes with Moon Syrup,"$586,000 "
pasta,./food-pastameatballs.jpg,Pasta with Moonballs,"$1,250,000 "
salad,./food-salad.jpg,Full Moon Salad,"$890,000 "
moonworm,./food-salmon.jpg,Fresh Moonworm (subject to availability),"$4,260,000 "
moonwich,./food-sandwich.jpg,Moonwich,"$970,000 "
smoothie,./food-smoothie.jpg,Smoothie-moonie,"$486,500 "
mooncurd,./food-tofusoup.jpg,Mooncurd soup,"$1,050,000 "
wraps,./food-wraps.jpg,Moon Rover Wraps,"$740,000 "
